A50A,A50B,A41,B14A_1,B14A_60,A4A_new_w
2,9,4,1.0,2.0,1
1,6,4,2.0,2.0,1
1,6,3,2.0,2.0,1
2,12,6,1.0,2.0,1
2,10,5,1.0,2.0,1
1,4,4,1.0,2.0,2
2,8,2,2.0,2.0,2
2,11,3,2.0,2.0,1
2,11,3,2.0,2.0,1
2,11,5,2.0,2.0,1
2,10,2,98.0,2.0,1
2,11,2,2.0,2.0,1
2,12,5,99.0,2.0,1
1,2,2,2.0,2.0,1
1,5,6,1.0,2.0,1
1,6,2,1.0,2.0,1
1,4,5,1.0,2.0,1
1,6,6,2.0,2.0,2
1,4,6,2.0,2.0,1
1,4,3,1.0,2.0,1
1,4,5,2.0,2.0,1
1,4,3,2.0,2.0,1
1,6,6,1.0,2.0,1
2,10,3,2.0,2.0,1
2,10,6,1.0,2.0,2
1,6,2,2.0,2.0,1
2,9,5,1.0,2.0,2
1,6,5,1.0,2.0,1
1,5,2,1.0,2.0,1
1,5,5,2.0,2.0,1
2,12,3,1.0,2.0,1
1,6,3,1.0,2.0,1
1,6,4,1.0,2.0,1
2,9,2,2.0,2.0,1
2,12,4,2.0,2.0,2
1,6,5,1.0,2.0,1
1,6,3,2.0,1.0,1
1,4,2,1.0,2.0,2
2,12,5,1.0,2.0,1
2,11,4,2.0,2.0,1
2,12,2,2.0,2.0,1
2,9,2,2.0,2.0,2
2,12,2,2.0,2.0,1
1,4,2,2.0,2.0,1
2,12,5,1.0,2.0,1
2,12,3,2.0,2.0,1
1,6,1,2.0,2.0,1
2,9,3,1.0,2.0,1
2,8,2,2.0,2.0,1
2,12,2,2.0,2.0,1
2,12,2,2.0,2.0,1
2,10,2,1.0,2.0,1
2,12,2,2.0,2.0,1
1,6,2,1.0,2.0,1
1,4,5,1.0,2.0,1
2,11,3,2.0,2.0,1
2,10,2,2.0,2.0,2
2,12,2,2.0,2.0,1
1,6,5,2.0,2.0,1
2,9,2,2.0,2.0,2
1,6,5,2.0,2.0,1
2,11,2,2.0,2.0,2
2,11,2,2.0,2.0,1
2,12,4,2.0,2.0,1
2,10,2,2.0,2.0,1
1,2,2,2.0,2.0,1
1,5,6,1.0,2.0,1
1,6,5,1.0,2.0,1
2,10,5,1.0,2.0,1
2,10,1,2.0,2.0,2
2,11,6,2.0,2.0,2
2,12,5,2.0,2.0,1
2,12,3,2.0,2.0,1
2,7,2,2.0,2.0,2
2,12,5,1.0,2.0,1
2,7,2,2.0,2.0,2
1,6,3,2.0,2.0,1
1,4,2,99.0,2.0,1
